Lambda(nm)	PlateauClear	PlateauCloud	SeaClear
299.00	6.0730	5.4970	3.0640
308.00	53.874	48.246	11.611
318.00	176.56	156.83	118.52
328.00	299.54	264.18	202.55
339.00	362.44	316.89	274.23
351.00	384.81	332.75	331.78
374.00	435.40	368.85	402.48
405.00	563.18	467.24	535.40
440.00	694.24	566.75	664.11
470.00	761.51	615.10	715.75
490.00	729.25	585.57	699.27
520.00	675.69	538.53	673.25
563.00	607.54	480.13	607.54
597.00	585.54	460.04	585.54
616.00	570.66	447.00	570.66
652.00	552.50	430.28	552.50
692.00	524.43	405.25	476.34
738.00	460.05	350.76	460.05
791.00	425.12	320.15	423.99
810.00	414.39	310.41	412.64
830.00	396.28	294.61	351.09
851.00	382.06	281.85	382.06
874.00	362.10	263.69	362.10
897.00	342.98	245.93	265.08
915.00	328.08	231.84	205.95
927.00	304.90	212.15	212.45
939.00	284.84	195.05	96.982
952.00	288.17	196.28	115.55
964.00	298.07	202.61	171.93
985.00	297.39	199.58	279.44
1011.0	282.05	186.21	281.14
1028.0	270.86	178.94	270.86
1038.0	265.00	176.00	265.00
1055.0	254.81	170.13	254.81
1078.0	242.18	161.49	232.07
1095.0	230.53	153.17	182.65
1107.0	208.66	137.07	138.08
1120.0	176.88	113.88	36.177
1133.0	177.54	113.97	39.869
1146.0	187.30	119.66	50.186
1159.0	195.58	123.67	122.55
1172.0	197.07	122.43	161.32
1186.0	192.63	117.05	149.32
1201.0	187.44	111.42	153.95
1223.0	178.96	104.60	177.51
1253.0	166.78	95.888	166.78
1286.0	155.74	89.773	155.74
1309.0	141.32	81.817	116.72
1323.0	132.57	76.545	79.389
1337.0	109.56	62.929	53.861
1351.0	58.789	34.000	16.166
1366.0	33.153	19.567	0.034000
1381.0	41.552	23.814	0.11700
1397.0	51.901	28.552	1.8220
1412.0	62.011	32.195	5.5870
1429.0	75.892	36.118	8.1570
1445.0	85.141	36.414	14.899
1462.0	98.783	36.932	18.688
1479.0	96.882	30.396	26.817
1497.0	105.14	26.442	67.542
1515.0	107.73	24.779	91.584
1534.0	105.76	24.872	104.92
1553.0	101.96	26.000	101.96
1572.0	95.757	27.234	95.757
1592.0	94.658	28.908	94.658
1624.0	89.158	28.981	89.158
1667.0	83.384	29.776	83.384
1713.0	74.785	29.256	74.785
1761.0	62.618	25.513	54.906
1812.0	32.443	15.004	5.3440
1848.0	14.179	7.2400	0.075000
1869.0	12.653	5.5820	0.069000
1890.0	20.080	7.0810	0.19200
1912.0	16.485	4.6050	0.30400
1934.0	23.036	4.8490	1.3840
1957.0	24.433	3.8170	8.1500
1980.0	32.832	4.4340	22.301
2004.0	21.568	2.8260	12.456
2028.0	30.420	4.0560	25.527
2053.0	29.914	4.6610	23.483
2079.0	32.129	6.2290	26.799
2105.0	34.248	7.6000	32.068
2132.0	33.472	7.9680	32.079
2160.0	32.104	8.5920	29.052
2188.0	30.923	10.061	27.628
2217.0	29.840	10.937	27.955
2247.0	28.762	11.141	27.959
2278.0	27.619	10.975	26.638
2304.0	26.688	10.399	24.563
2326.0	25.638	9.3640	22.370
2347.0	24.527	8.2560	20.141
2370.0	23.428	7.1760	17.573
2392.0	22.430	6.3700	14.965
2416.0	20.757	5.5320	11.657
2439.0	19.745	5.0700	10.088
2463.0	18.193	4.5580	7.7800
2488.0	13.720	3.4360	2.9640
2513.0	9.1710	2.3480	1.4090
2538.0	3.1410	0.92100	0.42200
2564.0	0.89300	0.31400	0.031000
2591.0	0.066000	0.043000	0.0000
2611.0	0.11400	0.064000	0.0000
2625.0	0.62500	0.21700	0.0000
2639.0	1.1620	0.33800	0.0000
2653.0	0.47100	0.12900	0.0000
2667.0	0.0010000	0.0010000	0.0000
2681.0	0.0000	0.0000	0.0000
2695.0	0.0000	0.0000	0.0000
2710.0	0.027000	0.0020000	0.0000
2725.0	0.072000	0.0040000	0.0000
2740.0	0.018000	0.0010000	0.0000
2755.0	0.0000	0.0000	0.0000
2770.0	0.0000	0.0000	0.0000
2786.0	0.052000	0.0000	0.0000
2801.0	0.21200	0.0010000	0.0020000
2850.0	3.1680	0.0060000	0.19800
2851.0	3.2590	0.0070000	0.21100
2999.0	8.5586	0.022191	2.1850
